cpf,nome,reserva,data,milhas,historico_reservas
12345678900,Lucas Silva,ED101,2025-10-25,500,
98765432100,Luis Santos,ED102,2025-11-20,1200,
123456,Mateus,,,0,
1,e,,,0,
12345,Luquinhas,,,0,
123,Rana,ED102,2025-12-14,0,
1234556,Ruan,451,2002-04-01,065,
1234,Luis Junior,ED104,2025-12-14 19:12:22,5002,"[{""codigo"": ""ED103"", ""data_compra"": ""2025-12-14 18:56:27"", ""origem"": ""Brasil "", ""destino"": ""Mexico"", ""aeronave"": ""Boeing 787"", ""preco_pago"": 2800.0, ""milhas_transacao"": -7700}, {""codigo"": ""ED102"", ""data_compra"": ""2025-12-14 18:58:58"", ""origem"": ""Brasil"", ""destino"": ""Canadá"", ""aeronave"": ""Boeing 777"", ""preco_pago"": 3500.0, ""milhas_transacao"": -1000}, {""codigo"": ""ED102"", ""data_compra"": ""2025-12-14 19:00:31"", ""origem"": ""Brasil"", ""destino"": ""Canadá"", ""aeronave"": ""Boeing 777"", ""preco_pago"": 3500.0, ""milhas_transacao"": 1000}, {""codigo"": ""ED102"", ""data_compra"": ""2025-12-14 19:00:50"", ""origem"": ""Brasil"", ""destino"": ""Canadá"", ""aeronave"": ""Boeing 777"", ""preco_pago"": 3500.0, ""milhas_transacao"": -1000}, {""codigo"": ""ea"", ""data_compra"": ""2025-12-14 19:01:19"", ""origem"": ""aa"", ""destino"": ""a"", ""aeronave"": ""1"", ""preco_pago"": 1.0, ""milhas_transacao"": 1}, {""codigo"": ""ED102"", ""data_compra"": ""2025-12-14 19:01:50"", ""origem"": ""Brasil"", ""destino"": ""Canadá"", ""aeronave"": ""Boeing 777"", ""preco_pago"": 3500.0, ""milhas_transacao"": 1000}, {""codigo"": ""ED102"", ""data_compra"": ""2025-12-14 19:04:19"", ""origem"": ""Brasil"", ""destino"": ""Canadá"", ""aeronave"": ""Boeing 777"", ""preco_pago"": 3500.0, ""milhas_transacao"": 1000}, {""codigo"": ""ED104"", ""data_compra"": ""2025-12-14 19:04:43"", ""origem"": ""Canada"", ""destino"": ""bahamas"", ""aeronave"": ""jatinho"", ""preco_pago"": 5500.0, ""milhas_transacao"": -4000}, {""codigo"": ""ED104"", ""data_compra"": ""2025-12-14 19:05:11"", ""origem"": ""Canada"", ""destino"": ""bahamas"", ""aeronave"": ""jatinho"", ""preco_pago"": 5500.0, ""milhas_transacao"": 4000}, {""codigo"": ""ED104"", ""data_compra"": ""2025-12-14 19:05:44"", ""origem"": ""Canada"", ""destino"": ""bahamas"", ""aeronave"": ""jatinho"", ""preco_pago"": 5500.0, ""milhas_transacao"": 4000}, {""codigo"": ""ea"", ""data_compra"": ""2025-12-14 19:08:03"", ""origem"": ""aa"", ""destino"": ""a"", ""aeronave"": ""1"", ""preco_pago"": 1.0, ""milhas_transacao"": 1}, {""codigo"": ""ED103"", ""data_compra"": ""2025-12-14 19:08:21"", ""origem"": ""Brasil "", ""destino"": ""Mexico"", ""aeronave"": ""Boeing 787"", ""preco_pago"": 2800.0, ""milhas_transacao"": 2000}, {""codigo"": ""ED104"", ""data_compra"": ""2025-12-14 19:12:12"", ""origem"": ""Canada"", ""destino"": ""bahamas"", ""aeronave"": ""jatinho"", ""preco_pago"": 5500.0, ""milhas_transacao"": -4000}, {""codigo"": ""ED104"", ""data_compra"": ""2025-12-14 19:12:22"", ""origem"": ""Canada"", ""destino"": ""bahamas"", ""aeronave"": ""jatinho"", ""preco_pago"": 5500.0, ""milhas_transacao"": -4000}]"
653523,Nicole,ED623,0001-02-01,096,
4512,Jonas,ed12,4005-02-01,0,
4123233,ines,,,0,
123,Jackson,ED303,2007-05-01,50,
84060235012,bianca,ED202,2002-02-24,50,
